concentration_mol_m3,value
100,-0.233101328
200,-0.250742068
300,-0.261341495
400,-0.268981573
500,-0.275051951
600,-0.280170578
700,-0.284659863
800,-0.288706846
900,-0.292428595
1000,-0.295902708
1100,-0.29918299
1200,-0.302308128
1300,-0.305306792
1400,-0.308200773
1500,-0.311007
1600,-0.313738876
1700,-0.31640719
1800,-0.319020755
1900,-0.321586867
2000,-0.324111638
2100,-0.326600246
2200,-0.329057119
2300,-0.331486078
2400,-0.33389045
2500,-0.336273153
2600,-0.338636768
2700,-0.340983588
2800,-0.343315667
2900,-0.345634854
3000,-0.347942826
3100,-0.350241107
3200,-0.35253109
3300,-0.35481406
3400,-0.357091197
3500,-0.3593636
3600,-0.361632287
3700,-0.363898211
3800,-0.366162264
3900,-0.368425284
4000,-0.370688063
4100,-0.372951346
4200,-0.375215843
4300,-0.377482226
4400,-0.379751136
4500,-0.382023185
4600,-0.384298958
4700,-0.386579016
4800,-0.388863897
4900,-0.391154119
5000,-0.393450181
