concentration_mol_m3,value
100,1.565887432
200,1.583369855
300,1.594408052
400,1.602318438
500,1.608527137
600,1.613708714
700,1.618222856
800,1.622279294
900,1.626008821
1000,1.629497354
1100,1.63280373
1200,1.635969633
1300,1.639025446
1400,1.64199386
1500,1.64489218
1600,1.647733852
1700,1.650529494
1800,1.653287616
1900,1.656015136
2000,1.658717741
2100,1.661400167
2200,1.664066396
2300,1.666719813
2400,1.669363322
2500,1.671999436
2600,1.674630352
2700,1.677258004
2800,1.679884107
2900,1.682510196
3000,1.685137654
3100,1.687767735
3200,1.690401583
3300,1.693040252
3400,1.695684711
3500,1.698335865
3600,1.700994557
3700,1.703661578
3800,1.706337676
3900,1.709023557
4000,1.711719894
4100,1.714427328
4200,1.717146474
4300,1.719877921
4400,1.722622238
4500,1.725379974
4600,1.72815166
4700,1.730937812
4800,1.733738931
4900,1.736555504
5000,1.739388009
