concentration_mol_m3,value
0,1e-6
100,4.995038022
200,9.852242095
300,14.5697732
400,19.14600473
500,23.57952137
600,27.86911759
700,32.01379583
800,36.01276421
900,39.86543396
1000,43.57141651
1100,47.1305202
1200,50.54274671
1300,53.80828718
1400,56.92751803
1500,59.90099656
1600,62.72945619
1700,65.41380154
1800,67.95510329
1900,70.35459273
2000,72.61365628
2100,74.73382964
2200,76.71679195
2300,78.5643597
2400,80.27848055
2500,81.86122705
2600,83.31479024
2700,84.64147319
2800,85.84368446
2900,86.92393156
3000,87.88481433
3100,88.72901834
3200,89.45930825
3300,90.07852126
3400,90.5895605
3500,90.99538856
3600,91.29902097
3700,91.50351989
3800,91.61198773
3900,91.62756098
4000,91.55340409
4100,91.39270353
4200,91.14866186
4300,90.82449208
4400,90.42341203
4500,89.94863895
4600,89.40338429
4700,88.79084855
4800,88.11421643
4900,87.37665209
5000,86.58129459
