concentration_mol_m3,value
100,1.776E-09
200,1.802E-09
300,1.828E-09
400,1.854E-09
500,1.88E-09
600,1.906E-09
700,1.932E-09
800,1.958E-09
900,1.984E-09
1000,2.01E-09
1100,2.036E-09
1200,2.062E-09
1300,2.088E-09
1400,2.114E-09
1500,2.14E-09
1600,2.166E-09
1700,2.192E-09
1800,2.218E-09
1900,2.244E-09
2000,2.27E-09
2100,2.296E-09
2200,2.322E-09
2300,2.348E-09
2400,2.374E-09
2500,2.4E-09
2600,2.426E-09
2700,2.452E-09
2800,2.478E-09
2900,2.504E-09
3000,2.53E-09
3100,2.556E-09
3200,2.582E-09
3300,2.608E-09
3400,2.634E-09
3500,2.66E-09
3600,2.686E-09
3700,2.712E-09
3800,2.738E-09
3900,2.764E-09
4000,2.79E-09
4100,2.816E-09
4200,2.842E-09
4300,2.868E-09
4400,2.894E-09
4500,2.92E-09
4600,2.946E-09
4700,2.972E-09
4800,2.998E-09
4900,3.024E-09
5000,3.05E-09
